,ofi_multi_L3_AAPL,ofi_int_10s_AAPL
2024-10-21 12:04:16+00:00,0.0,200.0
2024-10-21 12:04:18+00:00,0.0,200.0
2024-10-21 12:04:26+00:00,800.0,800.0
2024-10-21 12:04:40+00:00,0.0,0.0
2024-10-21 12:04:46+00:00,3.0,3.0
2024-10-21 12:04:50+00:00,0.0,3.0
2024-10-21 12:04:54+00:00,-400.0,-397.0
2024-10-21 12:05:00+00:00,200.0,-200.0
2024-10-21 12:05:04+00:00,0.0,200.0
2024-10-21 12:05:14+00:00,0.0,0.0
2024-10-21 12:05:18+00:00,0.0,0.0
2024-10-21 12:05:26+00:00,26.0,26.0
2024-10-21 12:05:30+00:00,1200.0,1226.0
2024-10-21 12:05:34+00:00,0.0,1226.0
2024-10-21 12:05:40+00:00,-45.0,-45.0
2024-10-21 12:05:42+00:00,324.0,279.0
2024-10-21 12:05:44+00:00,0.0,279.0
2024-10-21 12:05:46+00:00,-100.0,179.0
2024-10-21 12:05:48+00:00,250.0,429.0
2024-10-21 12:05:52+00:00,0.0,150.0
2024-10-21 12:05:54+00:00,-182.0,-32.0
2024-10-21 12:05:56+00:00,0.0,68.0
2024-10-21 12:06:04+00:00,5.0,5.0
2024-10-21 12:06:06+00:00,-689.0,-684.0
2024-10-21 12:06:08+00:00,200.0,-484.0
2024-10-21 12:06:16+00:00,0.0,200.0
2024-10-21 12:06:18+00:00,195.0,195.0
2024-10-21 12:06:22+00:00,-200.0,-5.0
2024-10-21 12:06:28+00:00,-200.0,-400.0
2024-10-21 12:06:30+00:00,0.0,-400.0
2024-10-21 12:06:38+00:00,-200.0,-200.0
2024-10-21 12:06:46+00:00,200.0,0.0
2024-10-21 12:06:48+00:00,-180.0,20.0
2024-10-21 12:06:50+00:00,-200.0,-180.0
2024-10-21 12:06:52+00:00,200.0,20.0
2024-10-21 12:06:56+00:00,-120.0,-300.0
2024-10-21 12:06:58+00:00,-71.0,-191.0
2024-10-21 12:07:02+00:00,200.0,9.0
2024-10-21 12:07:06+00:00,0.0,129.0
2024-10-21 12:07:20+00:00,-57.0,-57.0
2024-10-21 12:07:24+00:00,-28.0,-85.0
2024-10-21 12:07:30+00:00,229.0,201.0
2024-10-21 12:07:32+00:00,0.0,201.0
2024-10-21 12:07:34+00:00,200.0,429.0
2024-10-21 12:07:50+00:00,256.0,256.0
2024-10-21 12:07:52+00:00,-195.0,61.0
2024-10-21 12:07:54+00:00,24.0,85.0
2024-10-21 12:07:56+00:00,100.0,185.0
2024-10-21 12:07:58+00:00,-150.0,35.0
2024-10-21 12:08:06+00:00,8.0,-142.0
2024-10-21 12:08:10+00:00,62.0,70.0
2024-10-21 12:08:22+00:00,-85.0,-85.0
2024-10-21 12:08:24+00:00,200.0,115.0
2024-10-21 12:08:36+00:00,-201.0,-201.0
2024-10-21 12:08:38+00:00,128.0,-73.0
2024-10-21 12:08:40+00:00,230.0,157.0
2024-10-21 12:08:44+00:00,-86.0,71.0
2024-10-21 12:08:46+00:00,-57.0,215.0
2024-10-21 12:08:56+00:00,0.0,0.0
2024-10-21 12:09:00+00:00,-158.0,-158.0
2024-10-21 12:09:02+00:00,0.0,-158.0
2024-10-21 12:09:04+00:00,0.0,-158.0
2024-10-21 12:09:06+00:00,230.0,72.0
2024-10-21 12:09:10+00:00,10.0,240.0
2024-10-21 12:09:12+00:00,-173.0,67.0
2024-10-21 12:09:14+00:00,-427.0,-360.0
2024-10-21 12:09:18+00:00,200.0,-390.0
2024-10-21 12:09:26+00:00,-200.0,0.0
2024-10-21 12:09:30+00:00,171.0,-29.0
2024-10-21 12:09:32+00:00,-9.0,-38.0
